,0
0,0.00015189867751167982
1,0.00015184452210022226
2,0.00015179037342070715
3,0.0001517362314755306
4,0.0001516820962671577
5,0.00015162796779778805
6,0.00015157384607074334
7,0.00015151973108833462
8,0.00015146562285323745
9,0.00015141152137057885
10,0.00015135742663396998
11,0.00015130333865627038
12,0.000151249257437944
13,0.00015119518297866888
14,0.0001511411152798225
15,0.00015108705435067798
16,0.00015103300018846645
17,0.00015097895279692265
18,0.00015092491217879288
19,0.00015087087833675185
20,0.00015081685127409686
21,0.0001507628309910439
22,0.00015070881749425298
23,0.0001506548107821481
24,0.0001506008108658066
25,0.00015054681773197165
26,0.0001504928313970221
27,0.000150438851844019
28,0.00015038487911824287
29,0.00015033091319236762
30,0.0001502769540457815
31,0.00015022300172910213
32,0.00015016905622038966
33,0.00015011511751928847
34,0.00015006118563856086
35,0.00015000726057347536
36,0.00014995334231195968
37,0.0001498994309044645
38,0.0001498455263130555
39,0.00014979162854951355
40,0.00014973773761632088
41,0.00014968385351672982
42,0.00014962997625331267
43,0.00014957610583642782
44,0.0001495222422541292
45,0.0001494683855074395
46,0.00014941453562234138
47,0.00014936069258429817
48,0.00014930685640153097
49,0.00014925302709042465
50,0.00014919920459887967
51,0.00014914538898672558
52,0.0001490915802257605
53,0.00014903777835099548
54,0.00014898398334182444
55,0.00014893019520654326
56,0.0001488764138920454
57,0.0001488226395412285
58,0.00014876887202132467
59,0.000148715111388585
60,0.00014866135764630953
61,0.00014860761080094537
62,0.0001485538708456068
63,0.0001485001377488825
64,0.00014844641156933674
65,0.0001483926922845082
66,0.00014833897990365394
67,0.0001482852744235202
68,0.00014823157585252492
69,0.00014817788414709748
70,0.00014812419941270336
71,0.0001480705215966715
72,0.00014801685067402655
73,0.00014796318666838944
74,0.00014790952958406375
75,0.0001478558794274081
76,0.0001478022362003907
77,0.0001477485999006029
78,0.00014769497052945227
79,0.00014764134808234353
80,0.00014758773260776972
81,0.00014753412405653038
82,0.0001474805224446759
83,0.00014742692777847287
84,0.00014737334003387816
85,0.00014731975929285274
86,0.00014726618548348725
87,0.00014721261863406853
88,0.00014715905873870284
89,0.00014710550581600344
90,0.00014705195982265358
91,0.00014699842080790053
92,0.00014694488879721726
93,0.00014689136374831374
94,0.00014683784566851842
95,0.000146784334564279
96,0.00014673083044225037
97,0.00014667733330853995
98,0.00014662384314531314
99,0.00014657035997761028
